user_input,response
me fale sobre a FLIP,"A FLIP - Festa Literaria Internacional de Paraty e um festival intimista e sofisticado realizado na historica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programacao. Acesse www.flip.org.br para mais informacoes."
qual a maior feira literaria do Brasil?,"A Bienal Internacional do Livro de Sao Paulo e considerada a maior feira literaria do Brasil e uma das maiores da America Latina, recebendo milhoes de visitantes por edicao."
quais autores participam da Bienal do Livro Bahia?,"A Bienal do Livro Bahia ja recebeu como convidados nomes como Milton Hatoum, Ailton Krenak e Itamar Vieira Junior, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.bienaldolivrobahia.com.br."
quero saber tudo sobre a FLOR,"A FLOR - Feira Literaria do Orgulho e Resistencia e uma feira literaria dedicada a vozes LGBTQIA+, perifericas e de resistencia, celebrando a diversidade e o poder transformador da literatura. Ocorre em junho em Sao Paulo (SP). Mais informacoes em www.feiraflor.com.br."
qual o endereco completo da Bienal Rio?,"O endereco da Bienal do Rio de Janeiro e: Av. Salvador Allende, 6555 - Barra da Tijuca, Rio de Janeiro (RJ) - CEP 22783-127 (Riocentro, Pavilhao 3). Para informacoes de transporte e estacionamento, consulte www.bienaldorio.com.br."
quanto custa o ingresso da FLOR?,"Os precos dos ingressos da FLOR - Feira Literaria do Orgulho e Resistencia variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.feiraflor.com.br."
a Bienal Internacional do Livro de Pernambuco cobra entrada?,"Os precos dos ingressos da Bienal Internacional do Livro de Pernambuco variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrope.com.br."
onde fica a Feira do Livro POA?,A Feira do Livro de Porto Alegre e realizada em Porto Alegre (RS) - Praca da Alfandega.
vale a pena ir na Bienal PE?,"Com certeza! A Bienal Internacional do Livro de Pernambuco e um dos grandes festivais do livro no coracao do Nordeste, destacando autores regionais e internacionais com rica programacao cultural. Confira a programacao em www.bienaldolivrope.com.br e planeje sua visita."
tem entrada gratuita na Festa Literaria POA?,"Os precos dos ingressos da Festa Literaria de Porto Alegre variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em festaliterariaportaalegre.com.br."
quais as datas da Bienal Internacional do Livro de Sao Paulo?,"A Bienal Internacional do Livro de Sao Paulo geralmente acontece em julho. Para as datas exatas desta edicao, consulte www.bienaldolivro.com.br."
a Bienal PE e em qual cidade?,A Bienal Internacional do Livro de Pernambuco e realizada em Recife (PE) - Centro de Convencoes.
quem e o homenageado da Bienal PE?,"A Bienal Internacional do Livro de Pernambuco ja prestou homenagem a grandes nomes da literatura, como Clarice Lispector, Joao Cabral de Melo Neto e Ariano Suassuna. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.bienaldolivrope.com.br."
quais autores ja foram convidados para a Feira Unesp?,"A Feira do Livro da Unesp ja recebeu como convidados nomes como Ailton Krenak e Milton Hatoum, entre outros autores. Os convidados de cada nova edicao sao anunciados em www.livraria.unesp.br."
me conta sobre a FLIP - Festa Literaria Internacional de Paraty,"A FLIP - Festa Literaria Internacional de Paraty e um festival intimista e sofisticado realizado na historica cidade de Paraty, reconhecido internacionalmente pela qualidade de sua programacao. Acesse www.flip.org.br para mais informacoes."
quais as atividades da Feira do Livro POA?,"A Feira do Livro de Porto Alegre costuma oferecer: bate-papos com autores, mesas de debate, lancamentos de livros, oficinas literarias e espacos para criancas. A programacao completa e divulgada em www.feiradolivro.com.br proximo ao evento."
a FLIC ja homenageou quais autores?,"A FLIC - Festa Literaria de Belo Horizonte ja prestou homenagem a grandes nomes da literatura, como Guimaraes Rosa, Drummond de Andrade e Conceicao Evaristo. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.flicbh.com.br."
por que a Bienal Bahia e importante?,"A Bienal do Livro Bahia e fundamental para fomentar a leitura e a cultura no Brasil, conectando autores, editoras e leitores de todo o pais. E uma experiencia enriquecedora para qualquer amante da literatura."
o que e a FLOR?,"A FLOR - Feira Literaria do Orgulho e Resistencia e uma feira literaria dedicada a vozes LGBTQIA+, perifericas e de resistencia, celebrando a diversidade e o poder transformador da literatura. Acesse www.feiraflor.com.br para mais informacoes."
precisa pagar para entrar na Flipocos?,"Os precos dos ingressos da Flipocos - Festa Literaria de Pocos de Caldas variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flipocos.com.br."
quais escritores foram homenageados pela Festival Literario SC?,"A Festival Literario Catarinense ja prestou homenagem a grandes nomes da literatura, como Salim Miguel, Antonieta de Barros e Cruz e Sousa. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.festivalliterariosc.com.br."
qual o preco do ingresso para a Bienal Bahia?,"Os precos dos ingressos da Bienal do Livro Bahia variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldolivrobahia.com.br."
qual e o local da Flipocos?,A Flipocos - Festa Literaria de Pocos de Caldas e realizada em Pocos de Caldas (MG).
qual o endereco da Bienal Bahia?,"A Bienal do Livro Bahia acontece em: Centro de Convencoes da Bahia - Av. Antonio Carlos Magalhaes, s/n - Stiep, Salvador (BA) - CEP 41770-019. Mais detalhes logisticos em www.bienaldolivrobahia.com.br."
e ai,"Ola! Sou o ChatLitera, seu guia sobre feiras literarias brasileiras. Posso ajudar com datas, locais, programacao, ingressos e muito mais. O que voce quer saber?"
me explica o que e a FLIC,"A FLIC - Festa Literaria de Belo Horizonte e um festival mineiro com forte identidade cultural, promovendo debates, oficinas e lancamentos de livros. Acesse www.flicbh.com.br para mais informacoes."
quando vai ser a Feira Unesp esse ano?,"A Feira do Livro da Unesp geralmente acontece em outubro. Para as datas exatas desta edicao, consulte www.livraria.unesp.br."
quando e a bienal do livro?,"Temos varias Bienais do Livro no Brasil, cada uma com seu calendario proprio: Sao Paulo (julho), Rio de Janeiro (setembro), Bahia (outubro) e Pernambuco (outubro). Sobre qual delas voce quer saber a data exata?"
quanto custa o ingresso da FLIC?,"Os precos dos ingressos da FLIC - Festa Literaria de Belo Horizonte variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.flicbh.com.br."
quando ocorre a Flipocos - Festa Literaria de Pocos de Caldas?,"A Flipocos - Festa Literaria de Pocos de Caldas geralmente acontece em agosto. Para as datas exatas desta edicao, consulte www.flipocos.com.br."
quem recebeu homenagem na Feira do Livro da Unesp?,"A Feira do Livro da Unesp ja prestou homenagem a grandes nomes da literatura, como Florestan Fernandes, Paulo Freire e Mario de Andrade. O autor ou autora homenageado(a) de cada edicao e anunciado(a) em www.livraria.unesp.br."
quais autores participam da Festival Literario Catarinense?,"A Festival Literario Catarinense ja recebeu como convidados nomes como Conceicao Evaristo, Milton Hatoum e Ailton Krenak, entre outros autores brasileiros e internacionais. Os convidados de cada nova edicao sao anunciados em www.festivalliterariosc.com.br."
qual o preco do ingresso para a Bienal Rio?,"Os precos dos ingressos da Bienal do Rio de Janeiro variam a cada edicao. Em geral, ha ingressos simbolicos (a partir de R$ 20,00) e costumam existir dias ou atividades de entrada gratuita. Verifique os valores atuais em www.bienaldorio.com.br."
quais autores ja foram convidados para a Bienal do Livro do Rio?,"A Bienal do Rio de Janeiro ja recebeu como convidados nomes como Conceicao Evaristo, Djamila Ribeiro e Milton Hatoum, entre outros. Os convidados de cada edicao sao anunciados em www.bienaldorio.com.br."
o que e a Feira do Livro de Porto Alegre?,"A Feira do Livro de Porto Alegre e a mais antiga feira literaria do Brasil, realizada ao ar livre na iconica Praca da Alfandega desde 1955. Acesse www.feiradolivro.com.br para mais informacoes."
